,Latinsk navn,Norsk navn,Antall,Input,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,Artsgruppe,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_id
34,Allium ursinum,ramsløk,2,Allium ursinum,59379,99419,Allium ursinum,L.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Asparagales,Amaryllidaceae,Allium,,,,Plantae Magnoliophyta Monocots Asparagales Amaryllidaceae Allium,ramsløk,ramslauk,,2857601
35,Allium vineale,strandløk,2,Allium vineale,130210,99421,Allium vineale,L.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Asparagales,Amaryllidaceae,Allium,,,,Plantae Magnoliophyta Monocots Asparagales Amaryllidaceae Allium,strandløk,strandlauk,,7792960
36,Alnus glutinosa,svartor,6,Alnus glutinosa,130216,102131,Alnus glutinosa,(L.) Gaertn.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Fagales,Betulaceae,Alnus,,,,Plantae Magnoliophyta Eudicots Fagales Betulaceae Alnus,svartor,svartor,,2876213
37,Alnus incana,gråor,11,Alnus incana,144012,102132,Alnus incana,(L.) Moench,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Fagales,Betulaceae,Alnus,,,,Plantae Magnoliophyta Eudicots Fagales Betulaceae Alnus,gråor,gråor,,9148577
38,Alopecurus aequalis,vassreverumpe,2,Alopecurus aequalis,144925,99879,Alopecurus aequalis,Sobol.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,vassreverumpe,vassreverumpe,,5290083
39,Alopecurus arundinaceus,strandreverumpe,1,Alopecurus arundinaceus,130254,99880,Alopecurus arundinaceus,Poir.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,strandreverumpe,strandreverumpe,,5290087
40,Alopecurus geniculatus,knereverumpe,2,Alopecurus geniculatus,59842,99882,Alopecurus geniculatus,L.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,knereverumpe,knereverumpe,,5290090
41,Alopecurus ovatus,polarreverumpe,3,Alopecurus ovatus,144931,143444,Alopecurus ovatus,Knapp,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,polarreverumpe,polarreverumpe,,8428006
42,Alopecurus pratensis pratensis,engreverumpe,4,Alopecurus pratensis pratensis,59846,99886,Alopecurus pratensis pratensis,,subspecies,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus Alopecurus pratensis,engreverumpe,engreverumpe,,7226847
43,Ammophila arenaria,marehalm,1,Ammophila arenaria,130292,99888,Ammophila arenaria,(L.) Link,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Ammophila,,,,Plantae Magnoliophyta Monocots Poales Poaceae Ammophila,marehalm,marehalm,,5289845
44,Amphidium mougeotii,bergpolstermose,2,Amphidium mougeotii,188360,104256,Amphidium mougeotii,(Schimp.) Schimp.,species,,,Moser,Plantae,Bryophyta,Bryopsida,Dicranales,Amphidiaceae,Amphidium,,,,Plantae Bryophyta Bryopsida Dicranales Amphidiaceae Amphidium,bergpolstermose,bergpolstermose,,2672780
45,Anaptychia runcinata,svaberglav,2,Anaptychia runcinata,49339,73366,Anaptychia runcinata,(With.) J. R. Laundon,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Physciaceae,Anaptychia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Physciaceae Anaptychia,svaberglav,,,2608995
